old_age_care,unemployed,reduce_income_diff,jobs,female,age,education,employment,country,survey_year
0,0,0,0,1,76,Primary or less,Not active,Australia,1996
0,0,0,0,1,58,Secondary,Not active,Australia,1996
0,0,0,0,1,53,Secondary,Not active,Australia,1996
0,0,0,0,0,47,University or more,Not active,Australia,1996
0,0,0,0,0,74,Secondary,Not active,Australia,1996
0,0,0,0,1,39,Primary or less,Not active,Australia,1996
0,0,0,0,0,76,Secondary,Not active,Australia,1996
0,0,0,0,0,79,Secondary,Not active,Australia,1996
0,0,0,0,0,72,Secondary,Not active,Australia,1996
0,0,0,0,1,50,Secondary,Not active,Australia,1996
0,0,0,0,1,76,Secondary,Not active,Australia,1996
0,0,0,0,1,42,University or more,Not active,Australia,1996
0,0,0,0,0,56,Secondary,Not active,Australia,1996
0,0,0,0,0,63,Primary or less,Not active,Australia,1996
0,0,0,0,0,79,Primary or less,Not active,Australia,1996
0,0,0,0,1,53,Secondary,Not active,Australia,1996
0,0,0,0,0,77,Secondary,Not active,Australia,1996
0,0,0,0,0,55,Secondary,Not active,Australia,1996
0,0,0,0,0,74,Primary or less,Not active,Australia,1996
0,0,0,0,0,29,University or more,Not active,Australia,1996
0,0,0,0,1,60,Secondary,Not active,Australia,1996
0,0,0,0,0,73,University or more,Not active,Australia,1996
0,0,0,0,1,76,University or more,Not active,Australia,1996
0,0,0,0,0,54,University or more,Not active,Australia,1996
0,0,0,0,1,74,Secondary,Not active,Australia,1996
0,0,0,0,0,41,University or more,Not active,Australia,1996
0,0,0,0,0,68,Secondary,Not active,Australia,1996
0,0,0,0,0,27,Secondary,Not active,Australia,1996
0,0,0,0,0,68,University or more,Not active,Australia,1996
0,0,0,0,NA,NA,Secondary,Not active,Australia,1996
0,0,0,0,1,36,Secondary,Not active,Australia,1996
0,0,0,0,0,70,Secondary,Not active,Australia,1996
0,0,0,0,1,65,Secondary,Not active,Australia,1996
0,0,0,0,1,74,Secondary,Not active,Australia,1996
0,0,0,0,0,46,Secondary,Not active,Australia,1996
0,0,0,0,0,64,Secondary,Not active,Australia,1996
0,0,0,0,1,35,Secondary,Not active,Australia,1996
0,0,0,0,1,57,Secondary,Not active,Australia,1996
0,0,0,0,1,62,Secondary,Not active,Australia,1996
0,0,0,0,0,37,Secondary,Not active,Australia,1996
0,0,0,0,1,53,Secondary,Not active,Australia,1996
0,0,0,0,0,37,Secondary,Not active,Australia,1996
0,0,0,0,NA,NA,Primary or less,Not active,Australia,1996
0,0,0,0,1,30,University or more,Not active,Australia,1996
0,0,0,0,0,59,Secondary,Not active,Australia,1996
0,0,0,0,0,53,Secondary,Not active,Australia,1996
0,0,0,0,NA,76,Primary or less,Not active,Australia,1996
0,0,0,0,1,78,Secondary,Not active,Australia,1996
0,0,0,0,1,35,Secondary,Not active,Australia,1996
0,0,0,0,1,49,Secondary,Not active,Australia,1996
